Change Component Footprint: Designator=C1 Old Footprint=0805 New Footprint=TYPE_C
Change Component Footprint: Designator=C8 Old Footprint=0805 New Footprint=TYPE_C
Change Component Footprint: Designator=C10 Old Footprint=0805 New Footprint=TYPE_C
Change Component Footprint: Designator=C12 Old Footprint=0805 New Footprint=TYPE_C
Change Component Footprint: Designator=C15 Old Footprint=0805 New Footprint=TYPE_C
Change Component Comment : Designator=C18 Old Comment=0,1 New Comment=1,0
Change Component Comment : Designator=C1 Old Comment=0,1 New Comment=10,0
Change Component Comment : Designator=C8 Old Comment=0,1 New Comment=10,0
Change Component Comment : Designator=C10 Old Comment=0,1 New Comment=10,0
Change Component Comment : Designator=C12 Old Comment=0,1 New Comment=10,0
Change Component Comment : Designator=C15 Old Comment=0,1 New Comment=10,0
Change Component Comment : Designator=C25 Old Comment=0,1 New Comment=10,0
Change Component Comment : Designator=C14 Old Comment=1.0 New Comment=1,0
Change Component Comment : Designator=C5 Old Comment=CAP_TANT New Comment=10,0
Change Component Comment : Designator=C21 Old Comment=CAP_TANT New Comment=10,0
Change Component Comment : Designator=C16 Old Comment=CAP_TANT New Comment=22,0
Change Component Comment : Designator=C17 Old Comment=CAP_TANT New Comment=22,0
Change Component Comment : Designator=C19 Old Comment=CAP_TANT New Comment=22,0
Change Component Comment : Designator=C20 Old Comment=CAP_TANT New Comment=22,0
Change Component Comment : Designator=R4 Old Comment=RES0805 New Comment=1k
Change Component Comment : Designator=R1 Old Comment=RES0805 New Comment=30
Change Component Comment : Designator=R2 Old Comment=RES0805 New Comment=30
Change Component Comment : Designator=R3 Old Comment=RES0805 New Comment=100k
Change Component Comment : Designator=R5 Old Comment=RES0805 New Comment=100k
Change Component Comment : Designator=R12 Old Comment=RES0805 New Comment=120
Change Component Comment : Designator=R8 Old Comment=RES0805 New Comment=740
